Country,DTaP,Polio,Hib,HepB,Pneumo,Rota,MenBC,MenC,HepA,BCG,Flu,Total doses
United States,9,3,3,3,3,3,0,0,0,0,2,26
Netherlands,12,4,4,0,4,0,0,0,0,0,0,24
Canada,9,3,3,3,3,0,0,2,0,0,1,24
Australia,9,3,3,4,3,2,0,0,0,0,0,24
Andorra,9,3,3,3,3,0,0,2,0,0,0,23
Austria,9,3,3,3,3,2,0,0,0,0,0,23
Ireland,9,3,3,3,2,0,0,2,0,1,0,23
Greece,9,3,3,3,3,0,0,2,0,0,0,23
Monaco,9,3,3,3,3,0,0,0,1,1,0,23
Luxembourg,9,3,3,2,3,3,0,0,0,0,0,23
Cuba,9,3,3,4,0,0,2,0,0,1,0,22
Portugal,9,3,3,3,0,0,0,2,0,1,0,21
Spain,9,3,3,3,0,0,0,2,0,0,0,20
France,9,3,3,2,2,0,0,0,0,0,0,19
Czech Republic,9,3,3,3,0,0,0,0,0,1,0,19
Belgium,9,3,3,3,2,0,0,0,0,0,0,20
United Kingdom,9,3,3,0,2,0,0,2,0,0,0,19
Germany,9,3,3,0,3,0,0,0,0,0,0,18
Switzerland,9,3,3,0,3,0,0,0,0,0,0,18
Israel,9,3,3,3,0,0,0,0,0,0,0,18
Liechtenstein,9,3,3,0,3,0,0,0,0,0,0,18
Italy,9,3,3,3,0,0,0,0,0,0,0,18
San Marino,9,3,3,3,0,0,0,0,0,0,0,18
Singapore,9,3,0,3,0,0,0,0,0,1,1,17
New Zealand,9,3,2,3,0,0,0,0,0,0,0,17
Malta,9,3,3,0,0,0,0,0,0,0,0,15
Slovenia,9,3,3,0,0,0,0,0,0,0,0,15
South Korea,9,3,0,3,0,0,0,0,0,0,0,15
Finland,6,2,2,0,0,3,0,0,0,0,0,13
Sweden,6,2,2,0,2,0,0,0,0,0,0,12
Japan,9,2,0,0,0,0,0,0,0,1,0,12
Iceland,6,2,2,0,0,0,0,2,0,0,0,12
Norway,6,2,2,0,2,0,0,0,0,0,0,12
Denmark,6,2,2,0,2,0,0,0,0,0,0,12